"x" "y"
2.07396219759295 2.93900458321318
3.44815576720442 2.03082575716568
4.62203184469453 3.03245953922063
3.72962043182703 3.62717440276363
3.94574292179842 3.8620450826293
2.28207362044038 1.25654715824369
6.83001994753652 7.03706642025301
4.2731094543928 4.95238244380475
3.43707828387563 2.01054010588868
5.42653767007402 2.92585635518987
3.93069096459232 4.44299420072683
3.2474413197208 4.68178224468167
5.32651454421533 5.3011211623358
5.25808366880625 6.4745628590487
2.21113162806956 3.05919049770866
3.65110918120287 3.99053753110828
3.32445442946219 3.07405136188661
4.0501017729755 5.04191654567735
4.91611414375226 5.47119283968951
3.03395298512769 3.22545624583144
0.839222127612806 1.20281912491682
4.79781641405953 6.00169157446179
3.17585186372007 2.33397091050907
5.29014439455105 4.19636574111352
5.07088273828495 4.30653743783869
3.23982694574627 2.63011203744734
3.03848230886284 1.37298600674926
3.94067304228209 3.57538932582652
4.09433439701593 2.24308606706674
4.99126254232461 4.56045836194976
